;0;1;2;3;4;5;6;7;8;9;10
0;1;1;2;2;3;4;3;6;8;11;9
1;13;11;15;10;16;14;16;20;27;24;18
2;27;33;32;27;42;32;33;31;46;37;31
3;39;45;51;44;62;48;50;45;64;54;39
4;50;60;68;59;81;64;66;59;82;70;48
5;61;74;84;73;99;80;82;73;100;86;57
6;72;88;100;87;117;96;98;87;118;102;66
7;83;102;116;101;135;112;114;101;136;118;75
8;94;116;132;115;153;128;130;115;154;134;84
9;105;130;148;129;171;144;146;129;172;150;93
10;116;144;164;143;189;160;162;143;190;166;102
11;127;158;180;157;207;176;178;157;208;182;111
12;138;172;196;171;225;192;194;171;226;198;120
13;149;186;212;185;243;208;210;185;244;214;129
14;160;200;228;199;261;224;226;199;262;230;138
15;171;214;244;213;279;240;242;213;280;246;147
16;182;228;260;227;297;256;258;227;298;262;156
17;193;242;276;241;315;272;274;241;316;278;165
18;204;256;292;255;333;288;290;255;334;294;174
19;215;270;308;269;351;304;306;269;352;310;183
20;226;284;324;283;369;320;322;283;370;326;192
21;237;298;340;297;387;336;338;297;388;342;201
22;248;312;356;311;405;352;354;311;406;358;210
23;259;326;372;325;423;368;370;325;424;374;219
24;270;340;388;339;441;384;386;339;442;390;228
25;281;354;404;353;459;400;402;353;460;406;237
26;292;368;420;367;477;416;418;367;478;422;246
27;303;382;436;381;495;432;434;381;496;438;255
28;314;396;452;395;513;448;450;395;514;454;264
29;325;410;468;409;531;464;466;409;532;470;273
30;336;424;484;423;549;480;482;423;550;486;282
31;347;438;500;437;567;496;498;437;568;502;291
32;358;452;516;451;585;512;514;451;586;518;300
33;369;466;532;465;603;528;530;465;604;534;309
34;380;480;548;479;621;544;546;479;622;550;318
35;391;494;564;493;639;560;562;493;640;566;327
36;402;508;580;507;657;576;578;507;658;582;336
37;413;522;596;521;675;592;594;521;676;598;345
38;424;536;612;535;693;608;610;535;694;614;354
39;435;550;628;549;711;624;626;549;712;630;363
40;446;564;644;563;729;640;642;563;730;646;372
41;457;578;660;577;747;656;658;577;748;662;381
42;468;592;676;591;765;672;674;591;766;678;390
43;479;606;692;605;783;688;690;605;784;694;399
44;490;620;708;619;801;704;706;619;802;710;408
45;501;634;724;633;819;720;722;633;820;726;417
46;512;648;740;647;837;736;738;647;838;742;426
47;523;662;756;661;855;752;754;661;856;758;435
48;534;676;772;675;873;768;770;675;874;774;444
49;545;690;788;689;891;784;786;689;892;790;453
50;556;704;804;703;909;800;802;703;910;806;462
51;567;718;820;717;927;816;818;717;928;822;471
52;578;732;836;731;945;832;834;731;946;838;480
53;589;746;852;745;963;848;850;745;964;854;489
54;600;760;868;759;981;864;866;759;982;870;498
55;611;774;884;773;999;880;882;773;1000;886;507
56;622;788;900;787;1017;896;898;787;1018;902;516
57;633;802;916;undefined;undefined
