take a possible walk in the garden with 64 steps;NaN
0;1;NaN
1;4;3
2;9;5
3;13;4
4;23;10
5;30;7
6;44;14
7;55;11
8;73;18
9;88;15
10;110;22
11;124;14
12;149;25
13;170;21
14;200;30
15;221;21
16;256;35
17;282;26
18;318;36
19;352;34
20;388;36
21;424;36
22;466;42
23;503;37
24;554;51
25;594;40
26;647;53
27;688;41
28;741;53
29;792;51
30;845;53
31;904;59
32;958;54
33;1020;62
34;1074;54
35;1149;75
36;1205;56
37;1280;75
38;1332;52
39;1413;81
40;1469;56
41;1555;86
42;1621;66
43;1699;78
44;1773;74
45;1850;77
46;1940;90
47;2014;74
48;2104;90
49;2183;79
50;2268;85
51;2356;88
52;2442;86
53;2537;95
54;2631;94
55;2733;102
56;2832;99
57;2937;105
58;3034;97
59;3138;104
60;3245;107
61;3352;107
62;3488;136
63;3605;117
I could reach 3751 different pots!;NaN
lets see, where a really long walk will can take us;NaN
0;1;NaN
1;4;3
2;9;5
3;13;4
4;23;10
5;30;7
6;44;14
7;55;11
8;73;18
9;88;15
10;110;22
11;124;14
12;149;25
13;170;21
14;200;30
15;221;21
16;256;35
17;282;26
18;318;36
19;352;34
20;388;36
21;424;36
22;466;42
23;503;37
24;554;51
25;594;40
26;647;53
27;688;41
28;741;53
29;792;51
30;845;53
31;904;59
32;958;54
33;1020;62
34;1074;54
35;1149;75
36;1205;56
37;1280;75
38;1332;52
39;1413;81
40;1469;56
41;1555;86
42;1621;66
43;1699;78
44;1773;74
45;1850;77
46;1940;90
47;2014;74
48;2104;90
49;2183;79
50;2268;85
51;2356;88
52;2442;86
53;2537;95
54;2631;94
55;2733;102
56;2832;99
57;2937;105
58;3034;97
59;3138;104
60;3245;107
61;3352;107
62;3488;136
63;3605;117
64;3751;146
65;3867;116
66;4015;148
67;4135;120
68;4287;152
69;4379;92
70;4524;145
71;4631;107
72;4776;145
73;4884;108
74;5034;150
75;5144;110
76;5295;151
77;5410;115
78;5567;157
79;5691;124
80;5847;156
81;5977;130
82;6131;154
83;6270;139
84;6417;147
85;6566;149
86;6728;162
87;6858;130
88;7025;167
89;7171;146
90;7327;156
91;7486;159
92;7645;159
93;7814;169
94;7968;154
95;8139;171
96;8294;155
97;8490;196
98;8642;152
99;8845;203
100;8993;148
101;9201;208
102;9352;151
103;9555;203
104;9717;162
105;9920;203
106;10092;172
107;10297;205
108;10458;161
109;10676;218
110;10850;174
111;11068;218
112;11249;181
113;11454;205
114;11657;203
115;11855;198
116;12087;232
117;12268;181
118;12502;234
119;12693;191
120;12919;226
121;13117;198
122;13345;228
123;13554;209
124;13779;225
125;13984;205
126;14227;243
127;14444;217
128;14678;234
129;14894;216
130;15122;228
131;15353;231
132;15582;229
133;15823;241
134;16048;225
135;16304;256
136;16528;224
137;16780;252
138;17010;230
139;17264;254
140;17507;243
141;17780;273
142;17999;219
143;18279;280
144;18500;221
145;18797;297
146;19029;232
147;19313;284
148;19564;251
149;19824;260
150;20102;278
151;20347;245
152;20645;298
153;20894;249
154;21173;279
155;21434;261
156;21724;290
157;21994;270
158;22281;287
159;22536;255
160;22842;306
161;23103;261
162;23418;315
163;23677;259
164;24004;327
165;24268;264
166;24591;323
167;24851;260
168;25174;323
169;25429;255
170;25756;327
171;26020;264
172;26340;320
173;26639;299
174;26925;286
175;27233;308
176;27532;299
177;27864;332
178;28146;282
179;28476;330
180;28768;292
181;29088;320
182;29389;301
183;29723;334
184;30034;311
185;30378;344
186;30688;310
187;31036;348
188;31355;319
189;31690;335
190;32009;319
191;32367;358
192;32681;314
193;33101;420
194;33460;359
195;33904;444
196;34253;349
197;34693;440
198;35045;352
199;35489;444
200;35781;292
201;36177;396
202;36490;313
203;36879;389
204;37195;316
205;37596;401
206;37919;323
207;38314;395
208;38638;324
209;39036;398
210;39372;336
211;39771;399
212;40112;341
213;40510;398
214;40864;354
215;41244;380
216;41615;371
217;42023;408
218;42357;334
219;42760;403
220;43133;373
221;43506;373
222;43904;398
223;44275;371
224;44689;414
225;45052;363
226;45468;416
227;45834;366
228;46289;455
229;46646;357
230;47112;466
231;47460;348
232;47927;467
233;48281;354
234;48729;448
235;49104;375
236;49551;447
237;49945;394
238;50394;449
239;50758;364
240;51231;473
241;51615;384
242;52085;470
243;52482;397
244;52920;438
245;53362;442
246;53778;416
247;54270;492
248;54652;382
249;55147;495
250;55545;398
251;56020;475
252;56428;408
253;56902;474
254;57332;430
255;57798;466
256;58215;417
257;58710;495
258;59148;438
259;59622;474
260;60057;435
261;60514;457
262;60975;461
263;61430;455
264;61907;477
265;62353;446
266;62855;502
267;63296;441
268;63786;490
269;64235;449
270;64725;490
271;65196;471
272;65720;524
273;66144;424
274;66679;535
275;67100;421
276;67664;564
277;68107;443
278;68640;533
279;69116;476
280;69600;484
281;70122;522
282;70576;454
283;71136;560
284;71592;456
285;72113;521
286;72584;471
287;73124;540
288;73611;487
289;74144;533
290;74601;457
291;75162;561
292;75631;469
293;76202;571
294;76666;464
295;77258;592
296;77732;474
297;78303;571
298;78767;464
299;79338;571
300;79796;458
301;80369;573
302;80841;472
303;81395;554
304;81927;532
305;82421;494
306;82963;542
307;83484;521
308;84058;574
309;84548;490
310;85118;570
311;85623;505
312;86178;555
313;86692;514
314;87274;582
315;87801;527
316;88395;594
317;88913;518
318;89510;597
319;90043;533
320;90616;573
321;91150;534
322;91759;609
323;92280;521
324;92984;704
325;93585;601
326;94327;742
327;94909;582
328;95641;732
329;96225;584
330;96961;736
331;97453;492
332;98100;647
333;98619;519
334;99252;633
335;99776;524
336;100428;652
337;100964;536
338;101603;639
339;102136;533
340;102775;639
341;103323;548
342;103965;642
343;104517;552
344;105159;642
345;105728;569
346;106341;613
347;106934;593
348;107588;654
349;108126;538
350;108765;639
351;109365;600
352;109955;590
353;110592;637
354;111175;583
355;111834;659
356;112406;572
357;113067;661
358;113644;577
359;114358;714
360;114920;562
361;115649;729
362;116197;548
363;116923;726
364;117480;557
365;118173;693
366;118761;588
367;119452;691
368;120068;616
369;120761;693
370;121328;567
371;122056;728
372;122650;594
373;123372;722
374;123985;613
375;124656;671
376;125337;681
377;125971;634
378;126723;752
379;127306;583
380;128062;756
381;128667;605
382;129391;724
383;130009;618
384;130729;720
385;131380;651
386;132087;707
387;132716;629
388;133463;747
389;134122;659
390;134836;714
391;135490;654
392;136176;686
393;136867;691
394;137548;681
395;138261;713
396;138928;667
397;139676;748
398;140334;658
399;141062;728
400;141730;668
401;142456;726
402;143155;699
403;143930;775
404;144559;629
405;145349;790
406;145970;621
407;146801;831
408;147455;654
409;148237;782
410;148938;701
411;149646;708
412;150412;766
413;151075;663
414;151897;822
415;152560;663
416;153323;763
417;154004;681
418;154794;790
419;155498;704
420;156277;779
421;156936;659
422;157752;816
423;158429;677
424;159256;827
425;159925;669
426;160782;857
427;161466;684
428;162285;819
429;162953;668
430;163772;819
431;164433;661
432;165252;819
433;165932;680
434;166720;788
435;167485;765
436;168187;702
437;168963;776
438;169706;743
439;170522;816
440;171220;698
441;172030;810
442;172748;718
443;173538;790
444;174265;727
445;175095;830
446;175838;743
447;176682;844
448;177408;726
449;178254;846
450;179001;747
451;179812;811
452;180561;749
453;181421;860
454;182149;728
455;183137;988
456;183980;843
457;185020;1040
458;185835;815
459;186859;1024
460;187675;816
461;188703;1028
462;189395;692
463;190293;898
464;191018;725
465;191895;877
466;192627;732
467;193530;903
468;194279;749
469;195162;883
470;195904;742
471;196784;880
472;197544;760
473;198429;885
474;199192;763
475;200078;886
476;200862;784
477;201708;846
478;202523;815
479;203423;900
480;204165;742
481;205040;875
482;205867;827
483;206674;807
484;207550;876
485;208345;795
486;209249;904
487;210030;781
488;210936;906
489;211724;788
490;212697;973
491;213464;767
492;214456;992
493;215204;748
494;216189;985
495;216949;760
496;217887;938
497;218688;801
498;219623;935
499;220461;838
500;221398;937
501;222168;770
502;223151;983
503;223955;804
504;224929;974
505;225758;829
506;226662;904
507;227582;920
508;228434;852
509;229446;1012
510;230230;784
511;231247;1017
512;232059;812
513;233032;973
514;233860;828
515;234826;966
516;235698;872
517;236646;948
518;237487;841
519;238486;999
520;239366;880
521;240320;954
522;241193;873
523;242108;915
524;243029;921
525;243936;907
526;244885;949
527;245773;888
528;246767;994
529;247642;875
530;248608;966
531;249495;887
532;250457;962
533;251384;927
534;252410;1026
535;253244;834
536;254289;1045
537;255110;821
538;256208;1098
539;257073;865
540;258104;1031
541;259030;926
542;259962;932
543;260972;1010
544;261844;872
545;262928;1084
546;263798;870
547;264803;1005
548;265694;891
549;266734;1040
550;267655;921
551;268680;1025
552;269541;861
553;270612;1071
554;271497;885
555;272580;1083
556;273454;874
557;274576;1122
558;275470;894
559;276537;1067
560;277409;872
561;278476;1067
562;279340;864
563;280405;1065
564;281293;888
565;282315;1022
566;283313;998
567;284223;910
568;285233;1010
569;286198;965
570;287256;1058
571;288162;906
572;289212;1050
573;290143;931
574;291168;1025
575;292108;940
576;293186;1078
577;294145;959
578;295239;1094
579;296173;934
580;297268;1095
581;298229;961
582;299278;1049
583;300242;964
584;301353;1111
585;302288;935
586;303560;1272
587;304645;1085
588;305983;1338
589;307031;1048
590;308347;1316
591;309395;1048
592;310715;1320
593;311607;892
594;312756;1149
595;313687;931
596;314808;1121
597;315748;940
598;316902;1154
599;317864;962
600;318991;1127
601;319942;951
602;321063;1121
603;322035;972
604;323163;1128
605;324137;974
606;325267;1130
607;326266;999
608;327345;1079
609;328382;1037
610;329528;1146
611;330474;946
612;331585;1111
613;332639;1054
614;333663;1024
615;334778;1115
616;335785;1007
617;336934;1149
618;337924;990
619;339075;1151
620;340074;999
621;341306;1232
622;342278;972
623;343533;1255
624;344481;948
625;345725;1244
626;346688;963
627;347871;1183
628;348885;1014
629;350064;1179
630;351124;1060
631;352305;1181
632;353278;973
633;354516;1238
634;355530;1014
635;356756;1226
636;357801;1045
637;358938;1137
638;360097;1159
639;361167;1070
640;362439;1272
