;0;1;2;3;4;5;6;7;8;9;10
0;1;2;4;6;9;13;16;22;30;41;50
1;63;74;89;99;115;129;145;165;192;216;234
2;261;294;326;353;395;427;460;491;537;574;605
3;644;689;740;784;846;894;944;989;1053;1107;1146
4;1196;1256;1324;1383;1464;1528;1594;1653;1735;1805;1853
5;1914;1988;2072;2145;2244;2324;2406;2479;2579;2665;2722
6;2794;2882;2982;3069;3186;3282;3380;3467;3585;3687;3753
7;3836;3938;4054;4155;4290;4402;4516;4617;4753;4871;4946
8;5040;5156;5288;5403;5556;5684;5814;5929;6083;6217;6301
9;6406;6536;6684;6813;6984;7128;7274;7403;7575;7725;7818
10;7934;8078;8242;8385;8574;8734;8896;9039;9229;9395;9497
11;9624;9782;9962;10119;10326;10502;10680;10837;11045;11227;11338
12;11476;11648;11844;12015;12240;12432;12626;12797;13023;13221;13341
13;13490;13676;13888;14073;14316;14524;14734;14919;15163;15377;15506
14;15666;15866;16094;16293;16554;16778;17004;17203;17465;17695;17833
15;18004;18218;18462;18675;18954;19194;19436;19649;19929;20175;20322
16;20504;20732;20992;21219;21516;21772;22030;22257;22555;22817;22973
17;23166;23408;23684;23925;24240;24512;24786;25027;25343;25621;25786
18;25990;26246;26538;26793;27126;27414;27704;27959;28293;28587;28761
19;28976;29246;29554;29823;30174;30478;30784;31053;31405;31715;31898
20;32124;32408;32732;33015;33384;33704;34026;34309;34679;35005;35197
21;35434;35732;36072;36369;36756;37092;37430;37727;38115;38457;38658
22;38906;39218;39574;39885;40290;40642;40996;41307;41713;42071;42281
23;42540;42866;43238;43563;43986;44354;44724;45049;45473;45847;46066
24;46336;46676;47064;47403;47844;48228;48614;48953;49395;49785;50013
25;50294;50648;51052;51405;51864;52264;52666;53019;53479;53885;54122
26;54414;54782;55202;55569;56046;56462;56880;57247;57725;58147;58393
27;58696;59078;59514;59895;60390;60822;61256;61637;62133;62571;62826
28;63140;63536;63988;64383;64896;65344;65794;66189;66703;67157;67421
29;67746;68156;68624;69033;69564;70028;70494;70903;71435;71905;72178
30;72514;72938;73422;73845;74394;74874;75356;75779;76329;76815;77097
31;77444;77882;78382;78819;79386;79882;80380;80817;81385;81887;82178
32;82536;82988;83504;83955;84540;85052;85566;86017;86603;87121;87421
33;87790;88256;88788;89253;89856;90384;90914;91379;91983;92517;92826
34;93206;93686;94234;94713;95334;95878;96424;96903;97525;98075;98393
35;98784;99278;99842;100335;100974;101534;102096;102589;103229;103795;104122
36;104524;105032;105612;106119;106776;107352;107930;108437;109095;109677;110013
37;110426;110948;111544;112065;112740;113332;113926;114447;115123;115721;116066
38;116490;117026;117638;118173;118866;119474;120084;120619;121313;121927;122281
39;122716;123266;123894;124443;125154;125778;126404;126953;127665;128295;128658
40;129104;129668;130312;130875;131604;132244;132886;133449;134179;134825;135197
41;135654;136232;136892;137469;138216;138872;139530;140107;140855;141517;141898
42;142366;142958;143634;144225;144990;145662;146336;146927;147693;148371;148761
43;149240;149846;150538;151143;151926;152614;153304;153909;154693;155387;155786
44;156276;156896;157604;158223;159024;159728;160434;161053;161855;162565;162973
45;163474;164108;164832;165465;166284;167004;167726;168359;169179;169905;170322
46;170834;171482;172222;172869;173706;174442;175180;175827;176665;177407;177833
47;178356;179018;179774;180435;181290;182042;182796;183457;184313;185071;185506
48;186040;186716;187488;188163;189036;189804;190574;191249;192123;192897;193341
49;193886;194576;195364;196053;196944;197728;198514;199203;200095;200885;201338
50;201894;202598;203402;204105;205014;205814;206616;207319;208229;209035;209497
51;210064;210782;211602;212319;213246;214062;214880;215597;216525;217347;217818
52;218396;219128;219964;220695;221640;222472;223306;224037;224983;225821;226301
53;226890;227636;228488;229233;230196;231044;231894;232639;233603;234457;234946
54;235546;236306;237174;237933;238914;239778;240644;241403;242385;243255;243753
55;244364;245138;246022;246795;247794;248674;249556;250329;251329;252215;252722
56;253344;254132;255032;255819;256836;257732;258630;259417;260435;261337;261853
57;262486;263288;264204;undefined
